Course Name,Timestamp,Rating,Comment
Data Engineering using Databricks on AWS and Azure,2022-08-07 17:51:46,1.0,"Waste of money, extreme low level basics that you can find in YouTube videos too , same low level basic content repeated for azure and aws , he can reuse most of the stuff than rewriting the same thing just passing the time ."
Data Engineering using AWS Data Analytics Services,2022-08-07 14:17:52,5.0,
"Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)",2022-08-07 09:48:23,5.0,Course content is awesome. Durga has explained the concepts in very simple language that even a school student can understand the concepts along with practical handson.
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-07 08:44:28,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-07 07:25:22,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-07 06:26:11,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-07 05:17:40,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-06 21:40:57,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-06 20:44:44,2.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-06 19:37:30,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-06 16:30:38,5.0,
Build streaming applications using Apache Kafka and Scala,2022-08-06 15:05:34,5.0,kafka now a days using for streaming which important for us
Practical Guide to setup Hadoop and Spark Cluster using CDH,2022-08-06 15:04:49,5.0,it helps us to know practically to aware of hadoop
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-06 15:02:29,4.5,I like the course content to upgrade my career
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-06 10:20:07,4.0,
Data Engineering using Databricks on AWS and Azure,2022-08-06 09:53:39,4.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-06 05:56:30,4.0,very useful
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-05 23:26:59,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-05 18:44:51,4.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-05 18:27:15,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-05 13:50:05,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-05 12:17:37,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-05 11:33:44,4.0,
Data Engineering using AWS Data Analytics Services,2022-08-05 11:01:03,5.0,
Mastering AWS Elastic Map Reduce for Data Engineers,2022-08-05 08:09:01,4.0,
Mastering AWS Lambda Functions for Data Engineers,2022-08-04 20:47:05,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 20:27:41,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 20:03:24,3.5,The introductory was spoken very fast and some of it was hard to understand just based on little experience hearing people with such an accent.
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 15:59:56,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 12:07:42,5.0,master
Data Engineering using AWS Data Analytics Services,2022-08-04 12:05:58,4.0,
Mastering AWS Elastic Map Reduce for Data Engineers,2022-08-04 11:51:18,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-04 10:08:50,5.0,"Thank you for putting together such a detailed course! 
Having a few years of Spark experience at work helped me but going through this course covered all certification objectives
I was able to score 90 % in the certification 😊"
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-04 09:06:02,3.0,
Data Engineering using Databricks on AWS and Azure,2022-08-04 08:53:50,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-04 08:22:37,4.0,
Data Engineering using AWS Data Analytics Services,2022-08-04 08:21:05,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-04 08:11:03,5.0,
